Date,NSW,VIC,QLD,SA,WA,TAS,NT,ACT
1-Mar,0,0,0,0,1,0,0,0
2-Mar,0,0,0,0,0,0,0,0
3-Mar,0,0,0,0,0,0,0,0
4-Mar,1,0,0,0,0,0,0,0
5-Mar,0,0,0,0,0,0,0,0
6-Mar,0,0,0,0,0,0,0,0
7-Mar,0,0,0,0,0,0,0,0
8-Mar,1,0,0,0,0,0,0,0
9-Mar,0,0,0,0,0,0,0,0
10-Mar,0,0,0,0,0,0,0,0
11-Mar,0,0,0,0,0,0,0,0
12-Mar,0,0,0,0,0,0,0,0
13-Mar,0,0,1,0,0,0,0,0
14-Mar,0,0,0,0,0,0,0,0
15-Mar,2,0,0,0,0,0,0,0
16-Mar,0,0,0,0,0,0,0,0
17-Mar,0,0,0,0,0,0,0,0
18-Mar,1,0,0,0,0,0,0,0
19-Mar,0,0,0,0,0,0,0,0
20-Mar,1,0,0,0,0,0,0,0
21-Mar,0,0,0,0,0,0,0,0
22-Mar,0,0,0,0,0,0,0,0
23-Mar,0,0,0,0,0,0,0,0
24-Mar,1,0,0,0,0,0,0,0
25-Mar,0,0,1,0,0,0,0,0
26-Mar,0,3,0,0,1,0,0,0
27-Mar,0,0,0,0,0,0,0,0
28-Mar,1,0,0,0,0,0,0,0
29-Mar,0,1,1,0,0,0,0,0
30-Mar,0,0,0,0,0,1,0,1
31-Mar,0,0,0,0,0,1,0,0
1-Apr,1,0,0,0,0,0,0,0
2-Apr,1,2,1,0,0,0,0,0
3-Apr,2,1,0,0,1,0,0,0
4-Apr,0,1,0,0,0,0,0,1
5-Apr,4,0,1,0,0,0,0,0
6-Apr,2,2,0,0,1,0,0,0
7-Apr,3,1,0,1,2,1,0,0
8-Apr,0,1,0,1,0,0,0,0
9-Apr,0,0,0,1,0,0,0,0
10-Apr,1,1,0,0,0,1,0,0
11-Apr,1,1,0,0,0,0,0,0
12-Apr,1,0,0,1,0,1,0,0
13-Apr,2,0,0,0,0,0,0,0
14-Apr,0,0,0,0,0,1,0,0
15-Apr,0,0,0,0,0,0,0,1
16-Apr,0,0,0,0,0,0,0,0
17-Apr,0,0,0,0,1,1,0,0
18-Apr,1,0,1,0,0,1,0,0
19-Apr,1,1,0,0,0,0,0,0
20-Apr,1,0,0,0,0,0,0,0
21-Apr,0,0,0,0,0,0,0,0
22-Apr,3,0,0,0,0,0,0,0
23-Apr,0,1,0,0,0,0,0,0
24-Apr,1,0,0,0,1,1,0,0
25-Apr,1,0,0,0,0,1,0,0
26-Apr,1,1,0,0,0,1,0,0
27-Apr,0,0,0,0,0,0,0,0
28-Apr,1,0,0,0,0,0,0,0
29-Apr,4,1,0,0,0,0,0,0
30-Apr,1,0,0,0,0,1,0,0
1-May,1,0,0,0,0,1,0,0
2-May,0,0,0,0,0,0,0,0
3-May,1,0,0,0,1,0,0,0
4-May,0,0,0,0,0,0,0,0
5-May,2,0,0,0,0,0,0,0
6-May,0,0,0,0,0,0,0,0
7-May,0,0,0,0,0,0,0,0
8-May,0,0,0,0,0,0,0,0
9-May,0,0,0,0,0,0,0,0
10-May,0,0,0,0,0,0,0,0
11-May,0,0,0,0,0,0,0,0
12-May,0,0,0,0,0,0,0,0
13-May,1,0,0,0,0,0,0,0
14-May,0,0,0,0,0,0,0,0
15-May,0,0,0,0,0,0,0,0
16-May,0,0,0,0,0,0,0,0
17-May,0,0,0,0,0,0,0,0
18-May,1,0,0,0,0,0,0,0
19-May,0,0,0,0,0,0,0,0
20-May,1,0,0,0,0,0,0,0
21-May,0,0,0,0,0,0,0,0
22-May,1,0,0,0,0,0,0,0
23-May,0,1,0,0,0,0,0,0
24-May,0,0,0,0,0,0,0,0
25-May,0,0,0,0,0,0,0,0
26-May,0,0,0,0,0,0,0,0
27-May,0,0,0,0,0,0,0,0
28-May,0,0,0,0,0,0,0,0
29-May,0,0,0,0,0,0,0,0
30-May,0,0,0,0,0,0,0,0
31-May,0,0,0,0,0,0,0,0
1-Jun,0,0,0,0,0,0,0,0
2-Jun,0,0,0,0,0,0,0,0
3-Jun,0,0,0,0,0,0,0,0
4-Jun,0,0,0,0,0,0,0,0
5-Jun,0,0,0,0,0,0,0,0
6-Jun,0,0,0,0,0,0,0,0
7-Jun,0,0,0,0,0,0,0,0
8-Jun,0,0,0,0,0,0,0,0
9-Jun,0,0,0,0,0,0,0,0
10-Jun,0,0,0,0,0,0,0,0
11-Jun,0,0,0,0,0,0,0,0
12-Jun,0,0,0,0,0,0,0,0
13-Jun,0,0,0,0,0,0,0,0
14-Jun,0,0,0,0,0,0,0,0
15-Jun,0,0,0,0,0,0,0,0
16-Jun,0,0,0,0,0,0,0,0
17-Jun,0,0,0,0,0,0,0,0
18-Jun,0,0,0,0,0,0,0,0
19-Jun,0,0,0,0,0,0,0,0
20-Jun,0,0,0,0,0,0,0,0
21-Jun,0,0,0,0,0,0,0,0
22-Jun,0,0,0,0,0,0,0,0
23-Jun,0,0,0,0,0,0,0,0
24-Jun,0,1,0,0,0,0,0,0
25-Jun,0,0,0,0,0,0,0,0
26-Jun,0,0,0,0,0,0,0,0
27-Jun,0,0,0,0,0,0,0,0
28-Jun,0,0,0,0,0,0,0,0
29-Jun,0,0,0,0,0,0,0,0
30-Jun,0,0,0,0,0,0,0,0
1-Jul,0,0,0,0,0,0,0,0
2-Jul,0,0,0,0,0,0,0,0
3-Jul,0,0,0,0,0,0,0,0
4-Jul,0,0,0,0,0,0,0,0
5-Jul,0,0,0,0,0,0,0,0
6-Jul,0,2,0,0,0,0,0,0
7-Jul,0,0,0,0,0,0,0,0
8-Jul,0,0,0,0,0,0,0,0
9-Jul,0,0,0,0,0,0,0,0
10-Jul,0,0,0,0,0,0,0,0
11-Jul,0,1,0,0,0,0,0,0
12-Jul,0,1,0,0,0,0,0,0
13-Jul,0,0,0,0,0,0,0,0
14-Jul,0,2,0,0,0,0,0,0
15-Jul,0,1,0,0,0,0,0,0
16-Jul,0,2,0,0,0,0,0,0
17-Jul,0,3,0,0,0,0,0,0
18-Jul,0,3,0,0,0,0,0,0
19-Jul,0,3,0,0,0,0,0,0
20-Jul,0,1,0,0,0,0,0,0
21-Jul,0,3,0,0,0,0,0,0
22-Jul,0,2,0,0,0,0,0,0
23-Jul,0,5,0,0,0,0,0,0
