submission_date,state,tot_cases,conf_cases,prob_cases,new_case,tot_death,conf_death,new_death
01/22/2020,CO,0,,,0,0,,0
01/23/2020,CO,0,,,0,0,,0
01/24/2020,CO,0,,,0,0,,0
01/25/2020,CO,0,,,0,0,,0
01/26/2020,CO,0,,,0,0,,0
01/27/2020,CO,0,,,0,0,,0
01/28/2020,CO,0,,,0,0,,0
01/29/2020,CO,0,,,0,0,,0
01/30/2020,CO,0,,,0,0,,0
01/31/2020,CO,0,,,0,0,,0
2/01/2020,CO,0,,,0,0,,0
2/02/2020,CO,0,,,0,0,,0
2/03/2020,CO,0,,,0,0,,0
2/04/2020,CO,0,,,0,0,,0
2/05/2020,CO,0,,,0,0,,0
2/06/2020,CO,0,,,0,0,,0
2/07/2020,CO,0,,,0,0,,0
2/08/2020,CO,0,,,0,0,,0
2/09/2020,CO,0,,,0,0,,0
2/10/2020,CO,0,,,0,0,,0
2/11/2020,CO,0,,,0,0,,0
2/12/2020,CO,0,,,0,0,,0
02/13/2020,CO,0,,,0,0,,0
02/14/2020,CO,0,,,0,0,,0
02/15/2020,CO,0,,,0,0,,0
02/16/2020,CO,0,,,0,0,,0
02/17/2020,CO,0,,,0,0,,0
02/18/2020,CO,0,,,0,0,,0
02/19/2020,CO,0,,,0,0,,0
02/20/2020,CO,0,,,0,0,,0
02/21/2020,CO,0,,,0,0,,0
02/22/2020,CO,0,,,0,0,,0
02/23/2020,CO,0,,,0,0,,0
02/24/2020,CO,0,,,0,0,,0
02/25/2020,CO,0,,,0,0,,0
02/26/2020,CO,0,,,0,0,,0
02/27/2020,CO,0,,,0,0,,0
02/28/2020,CO,0,,,0,0,,0
02/29/2020,CO,0,,,0,0,,0
3/01/2020,CO,0,,,0,0,,0
3/02/2020,CO,0,,,0,0,,0
3/03/2020,CO,0,,,0,0,,0
3/04/2020,CO,0,,,0,0,,0
3/05/2020,CO,1,,,1,0,,0
3/06/2020,CO,2,,,1,0,,0
3/07/2020,CO,8,,,6,0,,0
3/08/2020,CO,8,,,0,0,,0
3/09/2020,CO,12,,,4,0,,0
3/10/2020,CO,17,,,5,0,,0
3/11/2020,CO,34,,,17,0,,0
3/12/2020,CO,49,,,15,0,,0
03/13/2020,CO,49,,,0,0,,0
03/14/2020,CO,49,,,0,0,,0
